CO/STATE,RECORDED,DATE,GRANTOR,Address,CITY,GRANTEE,PRICE,TYPE,BUILT,LAND AC,IMP SF,UNITS,LAND SF,$/SF IMP,$/UNIT IMP,$/SF LAND,GARAGE,CAP RATE,NOI,EXP,EGI,OCCUP,Corner Y/N,Reg Site shape,Utilities,Location,Quality,Condition,Description,Comments
JE-CO,2016107726,10/14/2016,Hong L&D Inc,6595 W 44th Ave,Wheat Ridge,Palanchook Bhagawati,1000000,Ret,1963,0.36,3200,0,15712,312.5,#DIV/0!,63.64562118,0,,,,,1.0000,y,Y,Y,2,2,2,ST C-store,Average c-store with gas pupmps.
JE-CO,2016107443,10/17/2016,Fenice Partners LLC,5219 N Allison St,Arvada,Royal Oak LLC,750000,Lnd,0,2.50,0,29,108900,#DIV/0!,25862.06897,6.887052342,0,,,,0,1.0000,Y,Y,Y,2,2,2,SF land,29 platted lots for townhomes.
AD-CO,2016097834,11/10/2016,Solaire Apartments LLC,1287 S 8th Ave,Brighton,Brighton Multifamily DST,57500000,Apt,2014,16.38,253116,252,713513,227.1685709,228174.6032,80.5872018,0,0.0490,2817479,1134000,3951479,0.9500,Y,Y,Y,3,3,3,MT Apt,"Geothermal apts, green new complex."
AD-CO,20160102024,11/22/2016,DIBC Buffalo Hills Ranch LLC,NWC Tower Rd & 104th Ave,Commerce City,Shea Homes LLC,6600000,Lnd,,110.40,0,,4809024,#DIV/0!,#DIV/0!,1.372419851,0,,,,,0.0000,Y,Y,Y,2,2,2,Com MU,Reunion MU development land.
AD-CO,20160098554,11/15/2016,S&Z Realty LLP,20101 E 36th Dr,Aurora,Stongs Neck LLC,14510000,Ind,1982,18.88,277236,,822413,52.33808019,#DIV/0!,17.64320789,0,0.0860,1247562,382586,1630148,1.0000,Y,Y,Y,2,2,2,MT ind,Post Office and one tenant rolling in 3-6 mos.
AD-CO,20160103899,11/15/2016,LBA/CPT Indsutrial Company,13250 E Smith Rd,Aurora,GBPP Pacific Industrial Co,13230000,Ind,2005,8.15,137868,,354927,95.96135434,#DIV/0!,37.27528329,0,,,,,0.7900,N,Y,Y,2,3,3,MT ind,Post Office and one tenant rolling in 3-6 mos.
AD-CO,20160103899,11/30/2016,NIP Owner I LLC,9410 Heinz Way,Commerce City,GPT Commerce City Owner LLC,12000000,Ind,2005,18.29,142188,,796800,84.39530762,#DIV/0!,15.06025004,0,,,,,1.0000,Y,Y,Y,2,3,3,ST Ind,Home Depot dist center.
AD-CO,20160102279,11/22/2016,IBC Denver VIII LW IV LLC,NEC W 116th Ave & Pecos St,Westminster,Park 12Hundred Venture LLC,5900000,Lnd,0,17.59,0,320,766046,#DIV/0!,18437.5,7.701885745,0,,,,,,Y,Y,Y,3,3,3,MT Apt land,Plan 320 unit Cresent Park 12Hundred apts.
AD-CO,20160102158,11/22/2016,BRS Holly SE ,5601 E 136th Ave,Thornton,Morsam Properties LLC,3250000,Ret,2016,1.29,3000,,56062,1083.333333,#DIV/0!,57.97182106,,0.0520,168975,0,168975,1.0000,Y,Y,Y,3,3,3,7-11,C-store with gas pumps.
AD-CO,20160098643,11/15/2016,Walker Property Group Inc,6245 Washington St,Uninc Adams,YAFA Realty Investments,2880000,Ind,1999,2.49,3350,,108464,859.7014925,#DIV/0!,26.55249096,0,,,,,,N,Y,Y,2,2,2,ST Ind,Walker Cable sale leaseback.
AD-CO,20160097430,11/15/2016,Lounsberry Living Tr,E/S Washington St & 152nd Ave,Thornton,136th & Yosemite LLC,2740000,Lnd,0,18.50,0,0,805860,#DIV/0!,#DIV/0!,3.400094309,0,,,,,,N,Y,Y,3,3,3,MT Apt land,Plan 320 unit Cresent Park 12Hundred apts.
AD-CO,20160100932,11/21/2016,David C Noel,SEC Park Centre Dr & Tejon St,Westminster,The Lands LLP,500000,Lnd,0,2.48,23000,0,108029,21.73913043,#DIV/0!,4.628395391,0,,,,,,Y,Y,Y,3,3,3,MT Ind land,"Plan MT spec flex industrial 23,000 SF"
